ts_code,trade_date,t_pre_close,t_1_close,diff_pct
000906.SZ,2002-04-25,13.1600,25.0200,0.4740
000906.SZ,2013-07-09,4.4700,4.5200,0.0111
000906.SZ,2017-06-02,8.2500,10.7700,0.2340
000906.SZ,2018-06-13,5.9000,7.7300,0.2367
000906.SZ,2019-07-18,6.5100,6.6600,0.0225
000906.SZ,2020-07-08,6.1100,6.3600,0.0393
000906.SZ,2021-06-09,12.4700,12.7700,0.0235
000906.SZ,2022-05-25,8.5800,8.9900,0.0456
000906.SZ,2023-05-26,9.0800,9.5800,0.0522
000906.SZ,2024-05-29,7.6100,7.9600,0.0440
000906.SZ,2025-06-05,6.3800,6.5800,0.0304
000908.SZ,2000-04-19,17.6600,35.3200,0.5000
000908.SZ,2016-06-23,11.8800,13.1700,0.0979
000908.SZ,2026-03-11,4.3600,6.3700,0.3155
000909.SZ,2012-06-13,6.9800,7.0800,0.0141
000909.SZ,2013-06-18,5.2200,7.8300,0.3333
000910.SZ,2002-02-05,8.9200,9.0200,0.0111
000910.SZ,2005-07-18,3.7600,3.8600,0.0259
000910.SZ,2006-07-17,6.6200,13.2300,0.4996
000910.SZ,2011-07-15,7.4500,7.5500,0.0132
000910.SZ,2021-04-28,14.5500,14.7100,0.0109
000910.SZ,2022-05-30,8.1400,8.3000,0.0193
000910.SZ,2023-05-17,8.1300,8.2900,0.0193
000910.SZ,2024-05-15,6.8800,7.0700,0.0269
000910.SZ,2025-05-15,7.4100,7.6000,0.0250
000911.SZ,2000-11-10,11.5400,11.6900,0.0128
000911.SZ,2001-09-21,11.7000,12.0400,0.0282
000911.SZ,2002-10-24,9.0100,9.2000,0.0207
000911.SZ,2003-10-17,6.7200,6.9200,0.0289
000911.SZ,2004-04-12,8.3000,8.5100,0.0247
000911.SZ,2004-10-19,8.8300,9.2200,0.0423
000911.SZ,2005-04-19,5.5700,5.9500,0.0639
000911.SZ,2006-04-25,13.8600,14.0500,0.0135
000911.SZ,2007-05-10,15.6200,16.2800,0.0405
000911.SZ,2008-05-08,20.8200,21.2100,0.0184
000911.SZ,2010-06-11,15.3800,15.6800,0.0191
000911.SZ,2011-05-30,17.5700,17.9200,0.0195
000912.SZ,2000-06-27,9.0200,9.1200,0.0110
000912.SZ,2002-06-13,7.9800,8.0800,0.0124
000912.SZ,2003-05-27,6.7600,8.9900,0.2481
000912.SZ,2004-05-27,6.2200,6.4800,0.0401
000912.SZ,2005-07-15,5.9600,6.2800,0.0510
000912.SZ,2006-02-13,7.2200,7.4800,0.0348
000912.SZ,2006-04-28,6.3800,6.6800,0.0449
000912.SZ,2007-06-15,20.5500,21.1500,0.0284
000912.SZ,2008-06-23,23.2800,23.6400,0.0152
000912.SZ,2009-06-30,10.9800,11.1300,0.0135
000912.SZ,2010-06-29,6.9900,7.0900,0.0141
000913.SZ,2002-06-21,7.3100,11.8000,0.3805
000913.SZ,2003-06-11,5.9700,6.0700,0.0165
000913.SZ,2004-05-27,4.8900,5.3400,0.0843
000913.SZ,2005-06-24,2.9800,3.1300,0.0479
000913.SZ,2013-06-27,4.4700,4.5700,0.0219
000913.SZ,2020-06-12,10.6600,11.1000,0.0396
000913.SZ,2023-07-13,17.5400,17.7800,0.0135
000913.SZ,2024-05-23,19.6900,20.0900,0.0199
000913.SZ,2024-10-31,17.4000,17.7800,0.0214
000913.SZ,2025-05-29,15.0600,15.4600,0.0259
000913.SZ,2025-09-12,18.4000,18.9000,0.0265
000915.SZ,2002-09-27,9.9300,16.9000,0.4124
000915.SZ,2017-06-16,37.2000,48.5100,0.2331
000915.SZ,2018-07-18,18.3200,18.5700,0.0135
000915.SZ,2019-06-21,19.6500,19.9500,0.0150
000915.SZ,2021-06-01,29.5400,29.8900,0.0117
000915.SZ,2022-04-27,30.5500,31.3500,0.0255
000915.SZ,2023-05-12,36.5500,37.3500,0.0214
000915.SZ,2024-05-16,33.3100,35.3100,0.0566
000915.SZ,2024-09-27,29.3800,29.8800,0.0167
000915.SZ,2025-06-11,30.3900,32.3900,0.0617
000915.SZ,2025-10-17,31.9200,32.4200,0.0154
000917.SZ,1999-09-16,25.2500,32.8200,0.2307
000917.SZ,2001-06-07,28.4000,28.7000,0.0105
000917.SZ,2002-05-22,16.6600,16.8600,0.0119
000917.SZ,2004-05-12,9.9200,13.0000,0.2369
000917.SZ,2006-07-07,9.1400,11.8800,0.2306
000917.SZ,2008-05-20,20.8100,25.0000,0.1676
000917.SZ,2012-07-13,11.7900,26.0800,0.5479
000919.SZ,2001-08-20,17.5300,17.8000,0.0152
000919.SZ,2002-07-30,16.0600,16.2700,0.0129
000919.SZ,2003-08-15,11.1000,11.3200,0.0194
000919.SZ,2004-08-17,6.4700,7.9100,0.1820
000919.SZ,2005-07-13,5.1900,5.3900,0.0371
000919.SZ,2006-07-10,5.3300,8.2400,0.3532
000919.SZ,2007-07-13,9.5100,9.7300,0.0226
000919.SZ,2008-07-04,5.9200,6.2000,0.0452
000919.SZ,2009-07-17,9.3300,9.4800,0.0158
000919.SZ,2010-07-16,8.6000,8.7500,0.0171
000919.SZ,2011-07-20,9.1600,9.3100,0.0161
