ts_code,trade_date,jump_pct,factor_change_pct,type
002017.SZ,2006-05-15,0.2304,0.2993371719401161,因子数值不匹配
002017.SZ,2008-04-16,0.2308,0.30009713095754936,因子数值不匹配
002017.SZ,2009-12-15,0.1787,0.21758765329102772,因子数值不匹配
002017.SZ,2011-05-20,0.1038,0.11576237957095199,因子数值不匹配
002017.SZ,2014-05-15,0.235,0.30714286005812713,因子数值不匹配
002017.SZ,2015-06-01,0.1679,0.20178068504699148,因子数值不匹配
002017.SZ,2019-02-28,0.159,0.1890034514699328,因子数值不匹配
002017.SZ,2023-06-21,0.2355,0.30810809653265775,因子数值不匹配
002019.SZ,2005-04-07,0.2389,0.31390399999999996,因子数值不匹配
002019.SZ,2007-05-18,0.2884,0.4052492868427161,因子数值不匹配
002019.SZ,2007-08-28,0.5,0.9999994671966284,因子数值不匹配
002019.SZ,2016-05-16,0.601,1.5065017110313648,因子数值不匹配
002020.SZ,2006-05-18,0.3337,0.500840332855698,因子数值不匹配
002020.SZ,2013-05-27,0.5027,1.010827362965487,因子数值不匹配
002020.SZ,2016-05-23,0.503,1.0121215746524281,因子数值不匹配
002020.SZ,2021-05-28,0.1825,0.2232044437032423,因子数值不匹配
002021.SZ,2005-06-14,0.3915,0.643275,因子数值不匹配
002021.SZ,2006-06-13,0.2478,0.3294798496904048,因子数值不匹配
002021.SZ,2007-06-04,0.1721,0.20791311946119861,因子数值不匹配
002021.SZ,2009-06-17,0.4446,0.8004199762281823,因子数值不匹配
002021.SZ,2012-06-08,0.235,0.30721639368493364,因子数值不匹配
002021.SZ,2023-12-29,0.2068,0.26071431160179626,因子数值不匹配
002022.SZ,2005-04-06,0.203,0.25473199999999996,因子数值不匹配
002022.SZ,2006-04-20,0.4268,0.7446044254868768,因子数值不匹配
002022.SZ,2007-04-16,0.3388,0.5124569954193927,因子数值不匹配
002022.SZ,2008-04-28,0.3344,0.502417704562513,因子数值不匹配
002022.SZ,2009-04-27,0.2379,0.31209051056032927,因子数值不匹配
